MCC Code,Payment Method,Setup A,Setup B
0742,shopeepay_payments,Prohibited (PBL),—
0763,sunbit_payments,Prohibited (PBL),—
0780,affirm_payments,Restricted (RBL),—
1520,affirm_payments,Restricted (RBL),—
1711,affirm_payments,Prohibited (PBL),—
1731,affirm_payments,Restricted (RBL),—
1740,affirm_payments,Prohibited (PBL),—
1750,affirm_payments,Prohibited (PBL),—
1761,affirm_payments,Restricted (RBL),—
1771,affirm_payments,Restricted (RBL),—
1799,affirm_payments,Restricted (RBL),—
2741,sunbit_payments,Prohibited (PBL),—
2791,sunbit_payments,Prohibited (PBL),—
2842,afterpay_clearpay_payments,Prohibited (PBL),—
3000-3350,p24_payments,Prohibited (PBL),—
3357,upi_payments,Restricted (RBL),—
3390,upi_payments,Prohibited (PBL),—
3395,upi_payments,Prohibited (PBL),—
3501-3999,p24_payments,Prohibited (PBL),—
3501,sofort_payments,Prohibited (PBL),—
3509,upi_payments,Restricted (RBL),—
4011,p24_payments,Prohibited (PBL),—
4111,p24_payments,Prohibited (PBL),—
4112,p24_payments,Prohibited (PBL),—
4119,sunbit_payments,Prohibited (PBL),—
4121,p24_payments,Prohibited (PBL),—
4131,p24_payments,Prohibited (PBL),—
4214,cashapp_payments,Prohibited (PBL),—
4215,cashapp_payments,Prohibited (PBL),—
4225,sunbit_payments,Prohibited (PBL),—
4411,afterpay_clearpay_payments,Prohibited (PBL),—
4457,p24_payments,Prohibited (PBL),—
4468,upi_payments,Restricted (RBL),—
4511,cashapp_payments,Prohibited (PBL),—
4582,sunbit_payments,Prohibited (PBL),—
4722,p24_payments,Prohibited (PBL),—
4723,affirm_payments,Prohibited (PBL),—
4761,affirm_payments,Prohibited (PBL),—
4784,sunbit_payments,Prohibited (PBL),—
4789,p24_payments,Prohibited (PBL),—
4812,sunbit_payments,Prohibited (PBL),—
4814,cashapp_payments,Prohibited (PBL),—
4815,affirm_payments,Prohibited (PBL),—
4816,ng_bank_payments,Prohibited (PBL),—
4821,sunbit_payments,Prohibited (PBL),—
4829,affirm_payments,Prohibited (PBL),—
4899,p24_payments,Prohibited (PBL),—
4900,affirm_payments,Prohibited (PBL),—
5021,affirm_payments,Prohibited (PBL),—
5039,sunbit_payments,Prohibited (PBL),—
5044,sunbit_payments,Prohibited (PBL),—
5045,p24_payments,Prohibited (PBL),—
5046,affirm_payments,Prohibited (PBL),—
5047,affirm_payments,Prohibited (PBL),—
5051,sunbit_payments,Prohibited (PBL),—
5065,sunbit_payments,Prohibited (PBL),—
5074,upi_payments,Restricted (RBL),—
5085,sunbit_payments,Prohibited (PBL),—
5094,bizum_payments,Prohibited (PBL),—
5099,p24_payments,Prohibited (PBL),—
5111,sunbit_payments,Prohibited (PBL),—
5122,afterpay_clearpay_payments,Prohibited (PBL),—
5131,affirm_payments,Prohibited (PBL),—
5137,affirm_payments,Prohibited (PBL),—
5139,affirm_payments,Prohibited (PBL),—
5169,afterpay_clearpay_payments,Prohibited (PBL),—
5172,affirm_payments,Prohibited (PBL),—
5192,sunbit_payments,Prohibited (PBL),—
5193,sunbit_payments,Prohibited (PBL),—
5198,sunbit_payments,Prohibited (PBL),—
5199,afterpay_clearpay_payments,Prohibited (PBL),—
5211,sunbit_payments,Prohibited (PBL),—
5231,upi_payments,Restricted (RBL),—
5261,upi_payments,Restricted (RBL),—
5262,affirm_payments,Prohibited (PBL),—
5271,affirm_payments,Prohibited (PBL),—
5300,sunbit_payments,Prohibited (PBL),—
5309,sunbit_payments,Prohibited (PBL),—
5310,sunbit_payments,Prohibited (PBL),—
5311,sunbit_payments,Prohibited (PBL),—
5331,sunbit_payments,Prohibited (PBL),—
